Age,Gender,Hydration_Level,Oil_Level,Sensitivity,Humidity,Temperature,Skin_Type,skin_score,skin_age
31,Female,Medium,High,Low,53,16.9,Oily,100,15
42,Male,Low,Low,High,32.6,15.4,Dry,36.8,62
36,Male,Medium,Medium,Low,65.5,14,Normal,100,24.5
35,Male,Medium,High,Medium,49.4,17.7,Normal,100,16.2
41,Male,Medium,High,Low,62.7,30.2,Oily,100,25.3
29,Male,Low,Low,High,44.1,15.8,Dry,41,39.2
26,Female,Low,Low,High,43.1,13.7,Combination,43.1,41.4
48,Female,High,Medium,Medium,53.7,22.3,Normal,100,32.2
51,Male,Low,High,Medium,73.1,29.2,Oily,53.2,58.8
47,Male,Low,High,Medium,80,21.6,Oily,62.5,50.4
54,Male,Low,High,Low,60.5,21.6,Oily,75,51
19,Male,Medium,Medium,Low,59.7,17.4,Combination,100,15
18,Male,Medium,Medium,Medium,64.1,16.3,Normal,100,15
51,Male,High,High,Medium,80,28.3,Oily,85.3,32.9
58,Male,Low,Low,High,24.4,12.6,Dry,21.1,78
41,Male,Medium,Medium,Low,58.3,20.4,Normal,100,22.2
38,Male,Medium,High,Low,61.1,30.7,Oily,100,20.7
52,Female,Medium,High,Medium,53.6,15.7,Combination,94.8,32
42,Male,Low,Low,High,31.3,10.5,Dry,35.6,61.7
33,Female,Medium,Medium,Low,59,13.2,Normal,100,15.6
54,Male,Low,Low,High,50.1,19.9,Dry,47.5,67.5
55,Female,Low,High,Medium,55,26.3,Oily,68.7,56.3
56,Female,Medium,High,Medium,74.8,21.2,Oily,78.7,36
59,Male,High,Medium,Medium,42.6,17.1,Normal,100,39
41,Female,High,Medium,Medium,55.3,16.5,Normal,100,22.6
52,Male,Medium,Medium,Low,62.1,18.1,Normal,100,32
41,Male,Low,High,Medium,63.3,22.8,Oily,74.4,37.2
28,Female,Medium,High,Low,57.8,27.2,Oily,100,15
53,Male,High,Medium,Medium,36.9,16.2,Normal,100,33
48,Male,Medium,High,Low,78,24.3,Oily,100,28.8
57,Male,Medium,High,Low,57.2,30.4,Oily,90.4,37
43,Male,Medium,Medium,Medium,65.4,24,Oily,100,33.8
51,Female,High,Medium,Low,62.1,16.6,Combination,100,31
24,Female,Low,Low,High,28.3,15.1,Dry,52,34
32,Female,Medium,Medium,Medium,42.3,16.5,Normal,100,19.9
29,Male,High,Low,High,52.8,14.2,Combination,87.5,15
32,Male,Low,Low,High,25.8,19.6,Dry,38.3,50
27,Female,High,Medium,Low,50.5,18.3,Normal,100,15
50,Female,Low,Low,Medium,29.7,31.4,Dry,46.4,61.8
45,Male,Medium,Low,Low,48,23.7,Oily,95.6,28.4
54,Male,Low,Low,High,40.7,25.4,Dry,50.5,71
30,Male,Low,Low,High,40.2,15.4,Dry,46.6,39.5
56,Male,Low,Low,High,31.4,13.9,Dry,27.8,76
56,Female,Medium,High,Medium,73,19.4,Oily,77.7,36
24,Male,Medium,Medium,Low,62.6,15.6,Oily,100,15
51,Female,Low,High,High,31.9,18.6,Combination,43.3,61.7
53,Female,High,Medium,Low,51.1,14.2,Normal,100,33
33,Female,High,Medium,Medium,61.4,24.5,Normal,100,17.8
26,Female,Medium,Medium,Medium,40.9,17.5,Normal,100,15
48,Male,Low,High,Medium,75.2,22.2,Oily,58.5,48.5
54,Male,Low,Low,High,24.2,17.7,Combination,31.3,74
51,Male,Medium,Medium,Low,51.6,21.3,Normal,100,31
49,Female,Low,Low,High,30.9,13.8,Normal,44,65.1
56,Male,Medium,High,Low,45.8,17.8,Normal,99.2,36
52,Male,Low,Low,High,25.5,18.9,Dry,24.8,72
56,Male,Low,High,Low,74.6,24.1,Oily,57.2,53.4
50,Female,Medium,High,Medium,80,28.4,Combination,79.7,40.1
56,Female,Medium,High,Low,53.8,25.6,Oily,94.7,36
27,Male,High,Medium,Low,67.3,19.8,Normal,100,15
53,Male,Low,Low,High,41.2,21.1,Combination,44.7,70
26,Male,Low,Low,High,31.9,11.7,Dry,41.3,38.4
46,Male,Low,Low,High,25.5,10,Dry,33.3,66
35,Female,High,Medium,Low,35.1,15.3,Normal,100,18.3
27,Male,Low,Low,High,22.3,18.4,Dry,32,45.4
22,Female,Low,Low,High,22.1,13.7,Dry,36.1,32
57,Male,Low,Low,High,27.7,15.8,Dry,28.6,77
56,Female,High,Medium,Medium,64.1,21.7,Normal,100,36
38,Male,High,Medium,Medium,41.7,13.7,Normal,100,18
57,Male,Medium,High,Low,61.2,27.3,Oily,95.9,37
59,Male,Medium,Medium,Medium,55.2,20.5,Normal,93.5,39
32,Male,High,Medium,Low,47.3,13.1,Normal,100,15.9
48,Male,Low,High,Medium,55.2,29.1,Oily,67.3,46.5
37,Male,Low,Low,High,25.9,11.9,Dry,28.8,57
55,Male,Medium,Low,Medium,45.3,28.4,Combination,87.1,35
50,Female,Medium,High,Medium,66,27.8,Oily,97.1,37.8
37,Female,Low,Low,High,41.3,28.8,Dry,41,48.4
55,Male,Medium,High,Low,76.2,31.5,Oily,93.6,35
55,Female,Medium,High,Medium,76.9,27.7,Oily,85.7,35
52,Female,Medium,Medium,Medium,46.3,26.9,Normal,99.3,32
54,Male,Low,Low,High,29.7,11.1,Dry,27.5,74
51,Female,Low,Low,High,29.6,14.8,Dry,36.4,69.1
25,Male,Low,High,Medium,74.6,27.4,Oily,70.3,26.2
25,Female,Low,Low,High,39.1,18,Dry,42.4,34.8
39,Female,Low,Low,High,29.9,13.4,Dry,24.7,59
49,Male,Medium,Low,High,29.3,14.6,Dry,58.2,56
54,Female,Low,Low,High,30.9,16.2,Dry,33.9,74
44,Male,Medium,High,Medium,80,31.5,Oily,92.1,31.1
21,Female,Medium,High,Low,73.4,16.2,Normal,100,15
58,Male,Medium,Medium,Medium,62,19.6,Oily,88.4,38
41,Male,Low,Low,High,33.4,13.5,Combination,37.6,56.7
36,Female,Low,Low,High,22.1,12.3,Dry,26.4,56
37,Male,High,Medium,Low,50.2,15.1,Normal,100,17
53,Female,Low,Low,High,30.1,11.7,Dry,35,73
28,Female,High,Medium,Low,38.7,24,Normal,100,15
52,Male,Low,Low,High,20,15.4,Dry,24.5,72
34,Male,Low,Low,High,27.4,15.2,Dry,41.9,51.6
59,Male,Medium,Medium,Medium,62.8,20.2,Normal,93.3,40.6
26,Female,Medium,High,Medium,63.1,19.9,Oily,100,15.1
25,Male,Medium,High,Medium,75.6,22.9,Oily,94.4,15
35,Female,Medium,High,Medium,50.4,16,Oily,95,19.8
43,Female,Medium,Medium,Medium,62.2,16,Oily,100,33.7
27,Male,High,Medium,Low,29.8,12.6,Normal,100,15
38,Male,Low,Low,High,28.6,11.5,Dry,34.7,58
54,Female,Low,Low,High,22.5,24.9,Dry,20.8,74
56,Female,Medium,Low,Medium,36.9,17.7,Combination,80.8,43.2
37,Female,Low,Low,High,43.9,13.9,Dry,46.4,47
44,Male,High,Medium,Medium,48.2,13.4,Oily,100,28.5
53,Male,Low,Low,High,25.9,14.6,Dry,36.9,73
30,Male,Low,Low,High,26.3,12.5,Dry,36.2,48
18,Female,Low,Low,High,28.5,16.8,Dry,41.5,28
21,Male,High,High,Low,43.6,19.1,Combination,100,15
25,Male,Medium,High,Low,57.9,31.4,Oily,100,15
56,Male,Low,High,Medium,77.3,25.5,Oily,51.3,59.4
50,Male,Medium,High,Low,38.3,30.2,Combination,90.9,35.1
44,Female,Low,Low,High,29.7,19.8,Dry,42.4,63.8
41,Male,Low,High,Low,64.2,26.2,Oily,68.8,38.6
33,Female,High,Medium,Medium,51.2,18.1,Normal,100,15
22,Male,Low,High,Medium,77.5,25.4,Oily,77.6,16.1
39,Female,Medium,Medium,Medium,68.8,16.1,Normal,99.5,28.8
59,Male,Low,Medium,Low,61.2,25.4,Combination,79.7,49.5
58,Male,Low,Low,High,20.1,19.1,Dry,29.8,78
38,Male,Low,High,Medium,76.6,20.2,Oily,64.3,38.9
41,Female,Medium,High,Low,62.5,22.8,Oily,99,21.7
41,Male,Medium,Medium,Medium,34.8,17,Normal,100,25.8
58,Female,Medium,Medium,Medium,42.1,23.3,Oily,92.1,38
21,Male,Low,Low,High,26.3,13.9,Dry,42.1,31
53,Female,Medium,Medium,Low,56.5,16.1,Normal,100,33
56,Male,High,High,Low,60.7,21.5,Oily,100,36
57,Male,Low,High,Medium,57.1,30.5,Oily,57.9,60.1
